"ORIGIN","DEST",
"06A","A43",
"06A","A43",
"1G4","BLD",
"1G4","GCN",
"1G4","BLD",
"1TX","FLL",
"7AK","DUT",
"7AK","CDB",
"7AK","KQA",
"7AK","AKB",
"7AK","KQA",
"7AK","KQA",
"7AK","DUT",
"A1K","SCC",
"A20","ANC",
"A20","SCC",
"A26","FAI",
"A27","FAI",
"A43","DGB",
"A43","06A",
"A43","KPY",
"A43","KKB",
"A43","KKB",
"A43","KOY",
"A43","A50",
"A43","AOS",
"A43","EHR",
"A43","A43",
"A43","KKB",
"A43","KOY",
"A43","KKB",
"A43","DGB",
"A50","A43",
"ABE","DTW",
"ABE","ATL",
"ABE","DTW",
"ABE","LAL",
"ABE","AFW",
"ABE","SMF",
"ABE","RFD",
"ABE","LAL",
"ABE","AFW",
"ABE","DTW",
"ABE","CLT",
"ABE","CLT",
"ABE","IAD",
"ABE","PGD",
"ABE","SFB",
"ABE","BNA",
"ABE","PIE",
"ABE","FLL",
"ABE","SRQ",
"ABE","ORD",
"ABE","ORD",
"ABE","DTW",
"ABE","CLE",
"ABE","DTW",
"ABE","IND",
"ABE","MEM",
"ABI","SJT",
"ABI","LBB",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","IAH",
"ABI","DFW",
"ABI","LBB",
"ABL","OTZ",
"ABL","SHG",
"ABL","OTZ",
"ABL","WLK",
"ABL","OBU",
"ABL","OTZ",
"ABL","OTZ",
"ABL","OTZ",
"ABL","RDB",
"ABL","RLU",
"ABL","ORV",
"ABQ","ONT",
"ABQ","PHX",
"ABQ","ELP",
"ABQ","ONT",
"ABQ","PHX",
"ABQ","SDF",
"ABQ","ELP",
"ABQ","PHX",
"ABQ","SVC",
"ABQ","LAS",
"ABQ","AUS",
"ABQ","BUF",
"ABQ","JFK",
"ABQ","CNM",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","IAH",
"ABQ","AMA",
"ABQ","PDX",
"ABQ","ATL",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","DRO",
"ABQ","ABQ",
"ABQ","FMN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","SLC",
"ABQ","LAX",
"ABQ","SFO",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","SFO",
"ABQ","DFW",
"ABQ","PHX",
"ABQ","TUS",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","OAK",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","LAX",
"ABQ","PHX",
"ABQ","MDW",
"ABQ","SAT",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","SAN",
"ABQ","DAL",
"ABQ","HOU",
"ABQ","PHX",
"ABQ","AUS",
"ABQ","MDW",
"ABQ","MCI",
"ABQ","ORD",
"ABQ","IAH",
"ABQ","DFW",
"ABQ","MEM",
"ABQ","DFW",
"ABQ","DRO",
"ABQ","FMN",
"ABQ","LBB",
"ABQ","MEM",
"ABR","MSP",
"ABR","MSP",
"ABR","PIR",
"ABR","FSD",
"ABY","ATL",
"ABY","CAE",
"ABY","SDF",
"ABY","MCO",
"ABY","PBI",
"ABY","MSY",
"ABY","SDF",
"ABY","PNS",
"ACK","JFK",
"ACK","EWB",
"ACK","HYA",
"ACK","HPN",
"ACK","BOS",
"ACK","MVY",
"ACK","JFK",
"ACK","HYA",
"ACK","HPN",
"ACK","TEB",
"ACK","PVD",
"ACT","IAH",
"ACT","MHK",
"ACT","FOE",
"ACT","IAH",
"ACT","MHK",
"ACT","LBB",
"ACT","SWO",
"ACT","DSM",
"ACT","DFW",
"ACT","DFW",
"ACT","FOE",
"ACT","DFW",
"ACV","LAX",
"ACV","SFO",
"ACV","SFO",
"ACV","SMF",
"ACV","UKI",
"ACY","FRG",
"ACY","TPA",
"ACY","FLL",
"ACY","RSW",
"ACY","MCO",
"ACY","TPA",
"ACY","MYR",
"ACY","RSW",
"ACY","MCO",
"ACY","FLL",
"ACY","RSW",
"ACY","PBI",
"ACY","TPA",
"ACY","MYR",
"ACY","FLL",
"ACY","RSW",
"ACY","MCO",
"ACY","PBI",
"ACY","SWF",
"ACY","BUF",
"ACY","PIT",
"ACY","ROC",
"ACY","GPT",
"ADK","CDB",
"ADK","ANC",
"ADK","CDB",
"ADK","ANC",
"ADQ","AKK",
"ADQ","KLN",
"ADQ","KOZ",
"ADQ","OLH",
"ADQ","ORI",
"ADQ","AKK",
"ADQ","KLN",
"ADQ","KOZ",
"ADQ","KYK",
"ADQ","OLH",
"ADQ","ORI",
"ADQ","KOZ",
"ADQ","ORI",
"ADQ","ADQ",
"ADQ","AKK",
"ADQ","KLN",
"ADQ","KOZ",
"ADQ","KYK",
"ADQ","NNK",
"ADQ","OLH",
"ADQ","ORI",
"ADQ","ADQ",
"ADQ","AKK",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","SEA",
"ADQ","ANC",
"ADQ","ANC",
"ADQ","SDP",
"ADQ","DUT",
"ADQ","ANC",
"ADS","HOU",
"ADS","SCE",
"ADS","CLL",
"ADS","ELP",
"ADS","BFI",
"ADS","LAF",
"ADS","MCI",
"ADW","IAD",
"AET","FAI",
"AET","HUS",
"AET","BTT",
"AET","HUS",
"AET","BRW",
"AET","SCC",
"AET","FAI",
"AET","BTT",
"AET","FAI",
"AET","HUS",
"AET","FAI",
"AEX","ATL",
"AEX","ATL",
"AEX","MIA",
"AEX","SAT",
"AEX","AEX",
"AEX","CSG",
"AEX","BRO",
"AEX","MDT",
"AEX","AZA",
"AEX","MSP",
"AEX","TCL",
"AEX","BED",
"AEX","IAH",
"AEX","DFW",
"AEX","IAD",
"AEX","MSN",
"AEX","GRK",
"AEX","DFW",
"AEX","IAH",
"AEX","SAT",
"AEX","BRO",
"AEX","AZA",
"AEX","GSO",
"AEX","BRO",
"AEX","BTR",
"AEX","AZA",
"AFW","ILN",
"AFW","SFO",
"AFW","JFK",
"AFW","CVG",
"AFW","ABE",
"AFW","SEA",
"AFW","ILN",
"AFW","PHX",
"AFW","SFO",
"AFW","JFK",
"AFW","LBB",
"AFW","MAF",
"AFW","TUL",
"AFW","SHV",
"AFW","AEX",
"AFW","IAH",
"AFW","SFO",
"AFW","SBN",
"AFW","LBB",
"AFW","TUL",
"AFW","MAF",
"AFW","TUL",
"AFW","ONT",
"AFW","LAL",
"AFW","MSY",
"AFW","DFW",
"AFW","RIC",
"AFW","ORD",
"AFW","IAH",
"AFW","LBB",
"AFW","AUS",
"AFW","ELP",
"AFW","GSO",
"AFW","TPA",
"AFW","SLC",
"AFW","SAN",
"AFW","MSP",
"AFW","MSY",
"AFW","TUL",
"AFW","MCI",
"AFW","SAT",
"AFW","ELP",
"AFW","SMF",
"AFW","DEN",
"AFW","OAK",
"AFW","MEM",
"AFW","LAX",
"AFW","SJC",
"AFW","BUR",
"AFW","SEA",
"AFW","LAX",
"AFW","ANC",
"AGC","APA",
"AGC","HOU",
"AGC","STL",
"AGC","LRD",
"AGN","TKE",
"AGN","JNU",
"AGN","JNU",
"AGN","JNU",
"AGS","CLT",
"AGS","RIC",
"AGS","CLT",
"AGS","MCN",
"AGS","ATL",
"AGS","GPT",
"AGS","CLT",
"AGS","DFW",
"AHN","ATL",
"AHN","BTR",
"AHN","GNV",
"AHN","LEX",
"AIA","DEN",
"AIN","PHO",
"AIN","ATK",
"AIN","BRW",
"AIN","SCC",
"AIN","BTT",
"AIN","PIZ",
"AKB","DUT",
"AKI","ANI",
"AKI","TLT",
"AKI","BET",
"AKI","TLT",
"AKI","ANC",
"AKI","BET",
"AKI","KWT",
"AKI","TLT",
"AKI","KKI",
"AKI","BET",
"AKI","KKI",
"AKK","OLH",
"AKK","ADQ",
"AKK","KLN",
"AKK","KYK",
"AKK","OLH",
"AKK","ADQ",
"AKK","ADQ",
"AKK","PTH",
"AKN","HOM",
"AKN","PTH",
"AKN","ANC",
"AKN","BET",
"AKN","ANC",
"AKN","ANC",
"AKN","DLG",
"AKN","DLG",
"AKN","IGG",
"AKN","EGX",
"AKN","EGX",
"AKN","DLG",
"AKN","IGG",
"AKN","EGX",
"AKN","ILI",
"AKN","ILI",
"AKN","KPV",
"AKN","PIP",
"AKN","ILI",
"AKN","ANC",
"AKN","CDB",
"AKN","DUT",
"AKN","DUT",
"AKN","CDB",
"AKN","DUT",
"AKN","ANC",
"AKN","KLL",
"AKN","PIP",
"AKN","UGS",
"AKN","WSN",
"AKN","KNW",
"AKN","AKN",
"AKN","DLG",
"AKN","KCG",
"AKN","KCL",
"AKN","KCQ",
"AKN","KLL",
"AKN","KPV",
"AKN","PIP",
"AKN","PTH",
"AKN","UGS",
"AKN","WSN",
"AKN","ENA",
"AKN","DLG",
"AKN","KNW",
"AKP","CXF",
"AKP","FAI",
"AKP","FAI",
"AKP","FAI",
"AKP","FAI",
"AKP","BTT",
"AKP","AET",
"AKP","CXF",
"AKP","BRW",
"AKP","FAI",
"AKP","BRW",
"ALB","DTW",
"ALB","ATL",
"ALB","DTW",
"ALB","SYR",
"ALB","PHL",
"ALB","BDL",
"ALB","SDF",
"ALB","DTW",
"ALB","ORD",
"ALB","CLT",
"ALB","DTW",
"ALB","ORD",
"ALB","FLL",
"ALB","MCO",
"ALB","MCO",
"ALB","DTW",
"ALB","EWR",
"ALB","IAD",
"ALB","ATL",
"ALB","PHL",
"ALB","ORD",
"ALB","PHL",
"ALB","DCA",
"ALB","MHT",
"ALB","ORD",
"ALB","PGD",
"ALB","PIE",
"ALB","ORD",
"ALB","ORD",
"ALB","CLE",
"ALB","DTW",
"ALB","BWI",
"ALB","MDW",
"ALB","MCO",
"ALB","TPA",
"ALB","DEN",
"ALB","BWI",
"ALB","FLL",
"ALB","MDW",
"ALB","MCO",
"ALB","BDL",
"ALB","MCO",
"ALB","EWR",
"ALB","MEM",
"ALO","EVV",
"ALO","MDH",
"ALO","ORD",
"ALS","DEN",
"ALW","SEA",
"ALW","HPN",
"ALZ","A43",
"ALZ","A43",
"AMA","DEN",
