Airport,PageRank
ANC,141.74389841313706
DEN,122.94430522680929
ORD,118.76521931632949
DFW,91.72570209310386
ATL,87.35648993854191
LAX,82.92260867248554
PHX,82.1342441422685
SEA,79.70796585359227
BET,77.44306778061724
FAI,77.3029363287419
LAS,76.52088366386087
MSP,71.70968759063531
MEM,66.94763232428015
IAH,65.44579277369569
MCO,64.46143785728039
SLC,64.24443155138418
CLT,63.236292848111106
FLL,60.42358229000089
DTW,59.83990404827237
EWR,59.6730379010874
SDF,52.519148647520474
PHL,52.464380052533826
MIA,48.941178375546755
TPA,48.40024602075131
IAD,46.55570772899054
PDX,46.09675571853594
CVG,44.69100712426278
SFO,44.6072507451359
BOS,38.59474636039099
BNA,38.35549855921884
OAK,38.12724049599515
ONT,37.68722452382572
A43,36.937448979591835
IND,36.369592035268525
BWI,36.10700433115456
JFK,35.671300874469445
OME,33.959904308908584
AUS,33.610059660584746
SMF,33.143431281844684
STL,33.058453462024374
RSW,32.387632302715005
OTZ,32.30820516699063
AKN,30.765311880185674
RDU,30.176176092431476
MCI,28.983709108276784
HNL,28.945447527784786
HPN,28.891556733663332
JNU,28.873684689592665
MDW,26.855373543911405
SAN,26.651693241781288
SAT,26.12599600562554
MSY,26.07815032357315
HOU,24.625185780025856
ANI,24.077685443410015
SJC,24.074490852213366
WFB,23.93473660714286
SJU,23.787192433822973
CLE,23.691934256474806
DLG,23.088080840771184
LGA,22.97141836778789
PIT,22.24937449730296
DCA,21.944513078581025
ADQ,20.87672855688615
MKE,20.35794926608176
PBI,20.110409780708224
ELP,19.809741077084233
DUT,19.528154700971843
GEG,18.329213853547976
CMH,18.179096968912493
YIP,17.83629245545436
KKB,17.69409948979592
GAL,17.335699593379946
OMA,17.157644747620054
BOI,16.97184488129904
BUF,16.81622355325763
MQY,16.79368992136558
CDB,16.415540770109807
RNO,16.404717697094377
SNA,16.36492338768142
ILI,15.861013043771194
TYS,15.710947553489422
RIC,15.677807737904827
DSM,15.401494427638285
SFB,15.37412149881138
DAL,15.361063843893104
OKC,15.345498852919212
SCC,15.282442390314985
JAX,14.73664935576656
ORF,14.622177467706795
OGG,14.366608335145761
ABQ,14.365286114621268
UNK,14.36156151407162
TEB,14.330531716329148
BDL,14.235434301741487
TUL,14.055664992128085
OPF,14.045647151578624
CHS,13.815332205169364
RFD,13.56269609576113
FYU,13.52931817928129
PSP,13.469212614732378
SRQ,13.124798216137185
AZA,13.005500060609062
SIT,12.83062200837437
EMK,12.562924588810812
BRW,12.538726088026893
GPT,12.471831505630721
GRR,12.395005809275164
BZN,12.379207333595192
MRI,12.341525190817956
HOM,12.255221201518415
FAR,11.823314626325804
CGA,11.68068630952381
VEE,11.420577775172347
GSO,11.116042388875114
TUS,10.974219315651103
VNY,10.797619714189295
KOA,10.59531149554729
LRD,10.388555385062118
FSD,10.254753468638814
BIL,10.199150322858207
KTB,10.025007738095239
SNP,9.973769606484472
MVY,9.928736812316306
KTN,9.760489664545691
ICT,9.68614976320959
ACK,9.660990162811014
COS,9.582913172418209
HHR,9.402696547374767
BTI,9.381017134067672
LIT,9.302845144177878
HUS,9.142745266205782
SBN,9.066909582868556
CID,9.010422017467423
BRO,8.933936396786237
KSM,8.909207410912758
SYR,8.871511540198254
DGB,8.847139030612247
KOY,8.847139030612247
MSN,8.796824028376703
EWB,8.689062380915646
UAM,8.512310186949128
LBB,8.4938861248331
EDA,8.489606696428572
PPV,8.489606696428572
SHV,8.370497972567385
BLD,8.317138492063492
KCC,8.308943750000001
HYL,8.308943750000001
MTM,8.308943750000001
PVD,8.26377178642528
GSP,8.228951621306585
IFP,8.123692645551646
WBQ,8.085247120047912
PIE,8.022532834974916
MCG,7.974027409231927
SAV,7.9591561360734335
KNW,7.939727640829163
FAT,7.873318999094692
WTL,7.828138517179765
SPN,7.798038263808688
JAC,7.755882592282869
LEX,7.722242226758145
AKP,7.710199508120365
XNA,7.670113514442232
MDT,7.658536502835591
SBA,7.63477599241794
PHO,7.566026507463626
EEK,7.543271107030679
ASE,7.537074950550516
KEH,7.514512499999999
AEX,7.473387950376505
ENA,7.458229540039539
PWM,7.431257391862566
AET,7.383150822626067
1G4,7.28954246031746
ALZ,7.225330357142857
WST,7.225330357142857
SPB,7.225330357142857
BID,7.225330357142857
SSB,7.225330357142857
B21,7.225330357142857
PQS,7.199532121900323
PGD,7.193599635835813
ATT,7.175906223212795
HSL,7.1285485912556235
BIS,7.095283719541512
BHM,7.0319176144400934
BUR,7.022756483523332
SOV,6.98496145709747
SDP,6.975037321564417
DAY,6.969572046127584
ALB,6.941177432584445
MLL,6.916546532975252
SGF,6.916369438269736
KLG,6.868709040711533
KWN,6.803452219077168
PTH,6.783599731035313
RMP,6.753372300613465
SHH,6.730770486656883
OOK,6.715046857338677
AFW,6.708792007848283
KPN,6.66870972853653
STT,6.603744953077762
BCT,6.59086360380805
BVU,6.553671057559431
TKJ,6.546863647983852
BTR,6.534231265002024
KPV,6.52822564915047
CLL,6.511075759666828
KOT,6.504707192935656
TIQ,6.497717862494647
PNS,6.461590746726546
FWA,6.4558665498651395
MTX,6.440660348788639
TNK,6.439842124457449
HNH,6.4164423033992914
ARC,6.40768326149104
GST,6.391800488309452
WWT,6.386656624594494
RCE,6.358239285714284
BED,6.349371011426544
RWI,6.331807129739512
RDB,6.278754754174139
KUK,6.278723296104773
KKA,6.265319492542624
7AK,6.263584851589131
ORV,6.234211732026476
KVL,6.141145581760808
BFI,6.13063354882726
TYE,6.125920969564061
TBN,6.1149967107846335
HDN,6.109894620411073
TEK,6.097508223865349
KCQ,6.089951536488167
GCN,6.069310119047619
GUM,6.037781501803578
SMK,5.938874209449645
ELI,5.9256606191686245
SUN,5.902251988110671
LCK,5.843975160735681
EUG,5.792166246368938
NIB,5.759228404027745
ABL,5.723829759654645
GRB,5.696047394541931
CYF,5.675616280729871
CAE,5.649740124383357
CPX,5.640782799053688
PIA,5.60270272028518
KKH,5.569805284413474
KCL,5.506579446541077
SXP,5.498421145767984
ROC,5.467414515585231
ROP,5.459565911910053
BTT,5.4513426484095096
TCL,5.444885603787073
MOU,5.431379881108987
GTF,5.396989029642701
RBY,5.395318284620227
KMO,5.3524816582307
WBB,5.3444337334574845
